trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20260112,SSE,1327919906814.0,187459946493.0,168832089978.0,12155096952.0,98903375.0,1340075003766.0,2382392032.0
20260112,BSE,8916057977.0,2249249977.0,3719288202.0,293031.0,2254.0,8916351008.0,12345.0
20260109,SZSE,1292153846748.0,189133311504.0,185689317220.0,5785830573.0,23166102.0,1297939677321.0,682812441.0
20260109,SSE,1309333101994.0,154127280418.0,150761212609.0,11879652817.0,55303387.0,1321212754811.0,2335283593.0
20260109,BSE,8448138270.0,1467735760.0,2870613294.0,254312.0,0.0,8448392582.0,11091.0
20260108,SZSE,1288761290985.0,166274772739.0,158261328752.0,5702718252.0,21162690.0,1294464009237.0,696858049.0
20260108,SSE,1306006162278.0,144335561311.0,136520719671.0,11751757827.0,51610631.0,1317757920105.0,2369087840.0
20260108,BSE,8387084307.0,1258789214.0,2647288378.0,312895.0,0.0,8387397202.0,13346.0
20260107,SZSE,1280770645851.0,177322318057.0,164652142430.0,5735554538.0,25080748.0,1286506200389.0,702595662.0
20260107,SSE,1298214640818.0,151858347821.0,139521015424.0,11795753345.0,62542003.0,1310010394163.0,2379116235.0
20260107,BSE,8225539239.0,1264812982.0,2681329732.0,315260.0,0.0,8225854499.0,13346.0
20260106,SZSE,1268121323838.0,175224897397.0,165311915115.0,5784812569.0,25109540.0,1273906136407.0,706674767.0
20260106,SSE,1285898834239.0,151435618371.0,142529421869.0,11806039951.0,74824341.0,1297704874190.0,2381615218.0
20260106,BSE,8289037135.0,1347241205.0,2694381734.0,313335.0,0.0,8289350470.0,13346.0
20260105,SZSE,1258247807263.0,157986569531.0,147119195861.0,5660200562.0,32526743.0,1263908007825.0,704201875.0
20260105,SSE,1277035784652.0,131491854174.0,123222652511.0,11565954586.0,70154499.0,1288601739238.0,2366847388.0
20260105,BSE,8138158582.0,1073935638.0,2430258674.0,312838.0,2255.0,8138471420.0,13346.0
20251231,SZSE,1247392285485.0,120872802302.0,126017874057.0,5406540541.0,15671333.0,1252798826026.0,691452905.0
20251231,SSE,1268796062622.0,96095300677.0,105559371479.0,11119490800.0,50344248.0,1279915553422.0,2342182336.0
20251231,BSE,7967655477.0,860169122.0,2217416438.0,301505.0,3054.0,7967956982.0,13145.0
20251230,SZSE,1252248802278.0,121923522580.0,122686257397.0,5539730811.0,15991075.0,1257788533089.0,698785332.0
20251230,SSE,1278285296119.0,106699808940.0,102371671289.0,11218962939.0,41488837.0,1289504259058.0,2355770989.0
20251230,BSE,7990756626.0,781812712.0,2149041342.0,244258.0,0.0,7991000884.0,10391.0
20251229,SZSE,1252864626544.0,123289938938.0,117802543094.0,5593332716.0,28576530.0,1258457959260.0,703640638.0
20251229,SSE,1273965468535.0,105260808648.0,102333852165.0,11297381025.0,43723870.0,1285262849560.0,2370139154.0
20251229,BSE,8012448520.0,776646297.0,2126406562.0,243750.0,0.0,8012692270.0,10391.0
20251226,SZSE,1247397227179.0,129497191254.0,129279491038.0,5576392439.0,24067666.0,1252973619618.0,697179517.0
20251226,SSE,1271086234902.0,108563310628.0,110804896164.0,11291094953.0,70186970.0,1282377329855.0,2383045544.0
20251226,BSE,7978656594.0,927820023.0,2322385102.0,250156.0,0.0,7978906750.0,10391.0
20251225,SZSE,1247195555205.0,120932500740.0,114897434700.0,5570757628.0,14186867.0,1252766312833.0,698330676.0
20251225,SSE,1273352376369.0,98040350270.0,100261502945.0,11360359465.0,36517074.0,1284712735834.0,2395226832.0
20251225,BSE,7950742806.0,855260324.0,2240438437.0,274906.0,1078.0,7951017712.0,11469.0
20251224,SZSE,1241167573303.0,112084853452.0,106411940268.0,5579425078.0,16084120.0,1246746998381.0,701457610.0
20251224,SSE,1275596245962.0,94047161593.0,89636320346.0,11380800888.0,54205093.0,1286977046850.0,2407173578.0
20251224,BSE,7958892398.0,778888654.0,2180877025.0,271176.0,564.0,7959163574.0,10955.0
20251223,SZSE,1235506600712.0,109446439649.0,102596250711.0,5622315888.0,21657864.0,1241128916600.0,725910162.0
20251223,SSE,1271201780307.0,106677381165.0,98900432276.0,11344865711.0,62043252.0,1282546646018.0,2414453610.0
20251223,BSE,7887425101.0,830035768.0,2225379450.0,355939.0,0.0,7887781040.0,14500.0
20251222,SZSE,1228476388245.0,107980929901.0,101260609093.0,5607306460.0,19496445.0,1234083694705.0,722280345.0
20251222,SSE,1263436859867.0,93606746392.0,87764772054.0,11295366180.0,54401072.0,1274732226047.0,2400826457.0
20251222,BSE,7824037312.0,814720422.0,2215387006.0,351484.0,0.0,7824388796.0,14500.0
20251219,SZSE,1221763403396.0,92087542650.0,89723683740.0,5570454012.0,17138511.0,1227333857408.0,723658901.0
20251219,SSE,1257616065098.0,84003100772.0,81787005108.0,11123541010.0,38385570.0,1268739606108.0,2397710873.0
20251219,BSE,7754004396.0,839901639.0,2268834875.0,351716.0,2055.0,7754356112.0,14500.0
20251218,SZSE,1219407561181.0,90958101754.0,89980055494.0,5598281915.0,14404970.0,1225005843096.0,734277292.0
